Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.996,1.0,1.0
2,0.863,0.996666666667,0.88
3,0.715,0.978888888889,0.66
4,0.754,0.926666666667,0.72
5,0.834,0.981111111111,0.86
6,0.937,0.995555555556,0.97
7,0.812,0.965555555556,0.84
8,0.883,0.987777777778,0.87
9,0.737,0.891111111111,0.77
10,0.683,0.873333333333,0.69
11,0.965,1.0,0.96
12,0.988,0.998888888889,1.0
13,0.995,1.0,1.0
14,0.89,1.0,0.92
15,0.58,0.767777777778,0.67
16,0.467,0.638888888889,0.48
17,0.561,0.743333333333,0.74
18,0.896,0.936666666667,0.88
19,0.096,0.245555555556,0.11
20,0.996,1.0,1.0
