Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.993,1.0,1.0
2,0.863,0.997777777778,0.81
3,0.716,0.975555555556,0.81
4,0.83,0.954444444444,0.79
5,0.863,0.988888888889,0.88
6,0.896,0.996666666667,0.9
7,0.83,0.965555555556,0.87
8,0.881,0.99,0.9
9,0.801,0.913333333333,0.72
10,0.763,0.907777777778,0.63
11,0.881,0.98,0.88
12,0.981,0.997777777778,0.97
13,0.917,0.951111111111,0.91
14,0.916,1.0,0.9
15,0.542,0.774444444444,0.58
16,0.482,0.673333333333,0.43
17,0.601,0.765555555556,0.63
18,0.893,0.952222222222,0.92
19,0.086,0.278888888889,0.11
20,0.998,1.0,1.0
