Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.997,1.0,1.0
2,0.881,1.0,0.82
3,0.722,0.992222222222,0.78
4,0.922,0.992222222222,0.85
5,0.851,0.995555555556,0.88
6,0.855,0.983333333333,0.94
7,0.855,0.986666666667,0.88
8,0.901,0.994444444444,0.91
9,0.787,0.907777777778,0.77
10,0.649,0.817777777778,0.62
11,0.963,1.0,0.97
12,0.992,1.0,0.98
13,0.99,1.0,0.98
14,0.919,1.0,0.9
15,0.764,0.918888888889,0.72
16,0.467,0.671111111111,0.44
17,0.553,0.736666666667,0.71
18,0.908,0.962222222222,0.94
19,0.091,0.216666666667,0.06
20,1.0,1.0,1.0
