Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.999,1.0,0.99
2,0.849,0.998888888889,0.84
3,0.715,0.987777777778,0.72
4,0.851,0.964444444444,0.86
5,0.865,0.997777777778,0.92
6,0.964,0.997777777778,0.97
7,0.851,0.956666666667,0.87
8,0.898,0.992222222222,0.89
9,0.96,0.993333333333,0.96
10,0.928,0.997777777778,0.96
11,0.93,0.996666666667,0.98
12,0.982,1.0,0.98
13,0.976,0.993333333333,0.98
14,0.877,0.998888888889,0.81
15,0.983,1.0,1.0
16,0.44,0.635555555556,0.45
17,0.547,0.768888888889,0.64
18,0.586,0.847777777778,0.71
19,0.104,0.237777777778,0.07
20,0.996,1.0,1.0
