Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.998,1.0,0.97
2,0.818,0.986666666667,0.81
3,0.689,0.972222222222,0.69
4,0.842,0.954444444444,0.8
5,0.87,0.995555555556,0.88
6,0.86,0.988888888889,0.89
7,0.831,0.961111111111,0.85
8,0.883,0.988888888889,0.88
9,0.76,0.897777777778,0.73
10,0.716,0.886666666667,0.63
11,0.944,0.996666666667,0.96
12,0.991,0.997777777778,1.0
13,0.967,0.994444444444,0.95
14,0.902,1.0,0.91
15,0.494,0.68,0.51
16,0.413,0.702222222222,0.48
17,0.591,0.73,0.66
18,0.903,0.97,0.89
19,0.109,0.273333333333,0.11
20,0.998,1.0,0.99
