Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.998,1.0,1.0
2,0.884,1.0,0.91
3,0.713,0.99,0.68
4,0.873,0.967777777778,0.85
5,0.878,1.0,0.92
6,0.953,0.996666666667,0.97
7,0.802,0.922222222222,0.84
8,0.882,0.992222222222,0.95
9,0.962,0.998888888889,0.97
10,0.884,0.996666666667,0.91
11,0.944,0.996666666667,0.95
12,0.988,1.0,0.99
13,0.966,1.0,0.99
14,0.955,1.0,0.92
15,0.524,0.674444444444,0.56
16,0.47,0.67,0.42
17,0.575,0.721111111111,0.62
18,0.902,0.958888888889,0.9
19,0.122,0.285555555556,0.08
20,0.999,1.0,1.0
