Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.999,1.0,1.0
2,0.885,1.0,0.88
3,0.72,0.997777777778,0.72
4,0.978,1.0,1.0
5,0.834,0.993333333333,0.94
6,0.858,0.977777777778,0.84
7,0.809,0.965555555556,0.82
8,0.893,0.981111111111,0.92
9,0.79,0.915555555556,0.8
10,0.679,0.881111111111,0.77
11,0.959,1.0,0.95
12,0.992,1.0,1.0
13,0.994,1.0,1.0
14,0.889,1.0,0.86
15,0.994,1.0,1.0
16,0.47,0.654444444444,0.46
17,0.555,0.692222222222,0.68
18,0.862,0.951111111111,0.94
19,0.124,0.296666666667,0.1
20,0.997,1.0,1.0
